127.0.0.1 - - [13/Jun/2023:16:10:12 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:10:14 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:26:07 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:26:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:31:43 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:31:43 +0530] "GET /DinamicWebProject/Bridgelabz.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:31:43 +0530] "GET /DinamicWebProject/BridgeLabz-2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:34:29 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:34:29 +0530] "GET /DinamicWebProject/Bridgelabz.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:42:43 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:42:43 +0530] "GET /html/body/div[2]/c-wiz/div[3]/div[2]/div[3]/div[2]/div/div[2]/div[2]/div[2]/c-wiz/div/div/div/div[3]/div[1]/a/img HTTP/1.1" 400 763
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:42:43 +0530] "GET /DinamicWebProject/Bridgelabz.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:47:54 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:47:54 +0530] "GET /DinamicWebProject/Bridgelabz.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:49:08 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:49:08 +0530] "GET /DinamicWebProject/Bridgelabz.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:51:51 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:51:51 +0530] "GET /DinamicWebProject/StarAgile.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:56:11 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [13/Jun/2023:16:56:11 +0530] "GET /DinamicWebProject/MyApp.css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [13/Jun/2023:17:01:48 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [13/Jun/2023:17:01:48 +0530] "GET /DinamicWebProject/MyApp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:17:38:47 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [13/Jun/2023:17:38:47 +0530] "GET /DinamicWebProject/MyApp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:17:40:56 +0530] "GET /DinamicWebProject/MyApp.html HTTP/1.1" 200 1171
